raw_gps_input_alt_m	raw_gps_input_fix_type	raw_gps_input_lat	raw_gps_input_lon	syn_outputs_optical_flow_gps_port_six_parameters_altitude_m	syn_outputs_optical_flow_gps_port_six_parameters_course_deg	syn_outputs_optical_flow_gps_port_six_parameters_fix_type	syn_outputs_optical_flow_gps_port_six_parameters_hdop	syn_outputs_optical_flow_gps_port_six_parameters_heading_deg	syn_outputs_optical_flow_gps_port_six_parameters_horizontal_accuracy_m	syn_outputs_optical_flow_gps_port_six_parameters_latitude	syn_outputs_optical_flow_gps_port_six_parameters_longitude	syn_outputs_optical_flow_gps_port_six_parameters_pdop	syn_outputs_optical_flow_gps_port_six_parameters_satellites	syn_outputs_optical_flow_gps_port_six_parameters_speed_accuracy_mps	syn_outputs_optical_flow_gps_port_six_parameters_timestamp	syn_outputs_vo_gps_port_six_parameters_altitude_m	syn_outputs_vo_gps_port_six_parameters_course_deg	syn_outputs_vo_gps_port_six_parameters_fix_type	syn_outputs_vo_gps_port_six_parameters_hdop	syn_outputs_vo_gps_port_six_parameters_heading_deg	syn_outputs_vo_gps_port_six_parameters_horizontal_accuracy_m	syn_outputs_vo_gps_port_six_parameters_latitude	syn_outputs_vo_gps_port_six_parameters_longitude	syn_outputs_vo_gps_port_six_parameters_pdop	syn_outputs_vo_gps_port_six_parameters_satellites	syn_outputs_vo_gps_port_six_parameters_speed_accuracy_mps	syn_outputs_vo_gps_port_six_parameters_timestamp	syn_outputs_vo_gps_port_six_parameters_ubx_message_hex	syn_outputs_vo_gps_port_six_parameters_vdop	syn_outputs_vo_gps_port_six_parameters_velocity_down_mps	syn_outputs_vo_gps_port_six_parameters_velocity_east_mps	syn_outputs_vo_gps_port_six_parameters_velocity_north_mps	syn_outputs_vo_gps_port_six_parameters_vertical_accuracy_m
932.3	3	12.88779267	77.64298933	958.1874463	190.5612281	3	0.7	190.5612281	0.5	12.8877861	77.64298783	0.7	19	1	2026-03-07T12:47:19.404138Z	960.7391991	111.7936124	3	1.3	190.5612281	0.5	12.88776838	77.64297272	1.3	10	0.5	1772887639		1.3	0	0.270373848	-0.108106861	0.1
932.3	3	12.88779267	77.64298933	958.1494463	190.5612281	3	0.7	190.5612281	0.5	12.8877861	77.64298783	0.7	19	1	2026-03-07T12:47:19.818191Z	960.519314	144.3066592	3	1.3	190.5612281	0.5	12.88776268	77.64297692	1.3	10	0.5	1772887640		1.3	0	0.543136746	-0.756040175	0.1
932.3	3	12.88779267	77.64298933	958.0454463	190.5612281	3	0.7	190.5612281	0.5	12.8877861	77.64298783	0.7	20	1	2026-03-07T12:47:19.989783Z	960.6896848	140.6364636	3	1.3	190.5612281	0.5	12.88775927	77.64297979	1.3	10	0.5	1772887640		1.3	0	0.866182688	-1.055877379	0.1
932.3	3	12.88779267	77.64298933	958.1044463	190.5612281	3	0.7	190.5612281	0.5	12.88778826	77.64298728	0.7	20	1	2026-03-07T12:47:20.195664Z	960.6983036	143.6743413	3	1.3	190.5612281	0.5	12.88775505	77.64298297	1.3	10	0.5	1772887640		1.3	0	0.860834463	-1.170784845	0.1
932.3	3	12.88779267	77.64298933	958.0874463	190.5612281	3	0.7	190.5612281	0.5	12.88778806	77.64298672	0.7	20	1	2026-03-07T12:47:20.390663Z	960.6410553	133.5847568	3	1.3	190.5612281	0.5	12.88775244	77.64298579	1.3	10	0.5	1772887640		1.3	0	0.773614899	-0.736311152	0.1
932.3	3	12.88779283	77.64298917	958.1074463	190.5612281	3	0.7	190.5612281	0.5	12.88779011	77.6429862	0.7	20	1	2026-03-07T12:47:20.588907Z	960.6866896	151.9045393	3	1.3	190.5612281	0.5	12.88775	77.64298712	1.3	10	0.5	1772887641		1.3	0	0.365035839	-0.683781756	0.1
932.3	3	12.88779283	77.64298917	958.0754463	190.5612281	3	0.7	190.5612281	0.5	12.88779011	77.6429862	0.7	20	1	2026-03-07T12:47:20.780006Z	960.7411159	164.7153238	3	1.3	190.5612281	0.5	12.88774745	77.64298784	1.3	10	0.5	1772887641		1.3	0	0.191666099	-0.701350184	0.1
932.3	3	12.88779283	77.64298917	958.0744463	190.5612281	3	0.7	190.5612281	0.5	12.88778979	77.64298567	0.7	20	1	2026-03-07T12:47:20.999020Z	960.8708965	197.5040519	3	1.3	190.5612281	0.5	12.88774436	77.64298684	1.3	10	0.5	1772887641		1.3	0	-0.2767291	-0.877456202	0.1
932.3	3	12.88779283	77.64298917	958.1404463	190.5612281	3	0.7	190.5612281	0.5	12.88778979	77.64298567	0.7	20	1	2026-03-07T12:47:21.426970Z	960.725078	158.990728	3	1.3	190.5612281	0.5	12.88774007	77.64298853	1.3	10	0.5	1772887641		1.3	0	0.211461859	-0.550610632	0.1
932.3	3	12.88779283	77.64298917	958.1684463	190.5612281	3	0.7	190.5612281	0.5	12.88779141	77.64298526	0.7	20	1	2026-03-07T12:47:21.610722Z	960.8413115	136.5301224	3	1.3	190.5612281	0.5	12.88773821	77.64299034	1.3	10	0.5	1772887642		1.3	0	0.566640906	-0.597743983	0.1
932.3	3	12.88779283	77.64298917	958.1264463	190.5612281	3	0.7	190.5612281	0.5	12.88779594	77.6429841	0.7	20	1	2026-03-07T12:47:22.013740Z	960.6309099	141.7029662	3	1.3	190.5612281	0.5	12.88773066	77.64299646	1.3	10	0.5	1772887642		1.3	0	0.790920701	-1.001585912	0.1
932.3	3	12.88779283	77.64298917	958.1464463	190.5612281	3	0.7	190.5612281	0.5	12.88779799	77.64298357	0.7	20	1	2026-03-07T12:47:22.196842Z	960.7680836	134.42032	3	1.3	190.5612281	0.5	12.88772494	77.64300245	1.3	10	0.5	1772887642		1.3	0	1.765464451	-1.730097508	0.1
932.3	3	12.88779283	77.64298917	958.1234463	190.5612281	3	0.7	190.5612281	0.5	12.88779799	77.64298357	0.7	20	1	2026-03-07T12:47:22.445901Z	960.8680677	143.1777114	3	1.3	190.5612281	0.5	12.88771872	77.64300723	1.3	10	0.5	1772887642		1.3	0	1.244566973	-1.66229847	0.1
932.3	3	12.88779283	77.64298917	958.2144463	190.5612281	3	0.7	190.5612281	0.5	12.88779799	77.64298357	0.7	20	1	2026-03-07T12:47:22.587415Z	960.576621	150.1937007	3	1.3	190.5612281	0.5	12.88771333	77.64301039	1.3	10	0.5	1772887643		1.3	0	0.922352953	-1.610108542	0.1
932.3	3	12.88779283	77.64298933	958.1704463	190.7238096	3	0.7	190.7238096	0.5	12.88780251	77.64298241	0.7	20	1	2026-03-07T12:47:23.032346Z	960.7976402	154.6506543	3	1.3	190.7238096	0.5	12.88770537	77.64301426	1.3	10	0.5	1772887643		1.3	0	0.490320996	-1.0349741	0.1
932.3	3	12.88779283	77.64298933	958.1884463	190.7238096	3	0.7	190.7238096	0.5	12.88780435	77.64298194	0.7	20	1	2026-03-07T12:47:23.201068Z	961.0639647	173.8294343	3	1.3	190.7238096	0.5	12.8876992	77.64301495	1.3	10	0.5	1772887643		1.3	0	0.215055461	-1.989136116	0.1
932.3	3	12.887793	77.64298933	958.2194463	190.7238096	3	0.7	190.7238096	0.5	12.88780909	77.64298073	0.7	20	1	2026-03-07T12:47:23.628845Z	960.7538598	148.1339862	3	1.3	190.7238096	0.5	12.88769192	77.64301959	1.3	10	0.5	1772887644		1.3	0	0.595532688	-0.958029498	0.1
932.3	3	12.887793	77.64298933	958.2624463	190.7238096	3	0.7	190.7238096	0.5	12.88780909	77.64298073	0.7	20	1	2026-03-07T12:47:24.032840Z	960.9004824	122.7000652	3	1.3	190.7238096	0.5	12.88768456	77.64303136	1.3	10	0.5	1772887644		1.3	0	1.591705531	-1.021859347	0.1
932.3	3	12.88779317	77.64298933	958.1414463	190.7238096	3	0.7	190.7238096	0.5	12.88780909	77.64298073	0.7	20	1	2026-03-07T12:47:24.433610Z	960.7436958	104.5388732	3	1.3	190.7238096	0.5	12.88768218	77.64304075	1.3	10	0.5	1772887644		1.3	0	1.274888055	-0.33063145	0.1
932.3	3	12.88779317	77.64298933	958.1984463	190.7238096	3	0.7	190.7238096	0.5	12.8878134	77.64297962	0.7	20	1	2026-03-07T12:47:24.818640Z	960.860737	126.1310342	3	1.3	190.7238096	0.5	12.88767584	77.64304967	1.3	10	0.5	1772887645		1.3	0	1.226174687	-0.895159684	0.1
932.3	3	12.88779333	77.64298933	958.1194463	190.7238096	3	0.7	190.7238096	0.5	12.8878134	77.64297962	0.7	20	1	2026-03-07T12:47:24.995004Z	960.876712	118.1008592	3	1.3	190.7238096	0.5	12.88767053	77.64305987	1.3	10	0.5	1772887645		1.3	0	2.969978135	-1.585877872	0.1
932.3	3	12.88779333	77.64298933	958.1184463	190.7238096	3	0.7	190.7238096	0.5	12.88781545	77.64297909	0.7	20	1	2026-03-07T12:47:25.199790Z	960.8879537	127.921602	3	1.3	190.7238096	0.5	12.88766197	77.64307114	1.3	10	0.5	1772887645		1.3	0	3.180040676	-2.477520248	0.1
932.3	3	12.8877935	77.64298933	958.1724463	190.7238096	3	0.7	190.7238096	0.5	12.88781545	77.64297909	0.7	20	1	2026-03-07T12:47:25.402814Z	960.6335924	131.5748642	3	1.3	190.7238096	0.5	12.88765528	77.64307887	1.3	10	0.5	1772887645		1.3	0	2.094375831	-1.857831446	0.1
932.3	3	12.8877935	77.64298933	958.1614463	190.7238096	3	0.7	190.7238096	0.5	12.88781545	77.64297909	0.7	20	1	2026-03-07T12:47:25.592718Z	960.8203261	141.521378	3	1.3	190.7238096	0.5	12.88764661	77.64308594	1.3	10	0.5	1772887646		1.3	0	1.9325819	-2.431450035	0.1
932.4	3	12.8877935	77.64298933	958.1984463	190.7238096	3	0.7	190.7238096	0.5	12.88781545	77.64297909	0.7	20	1	2026-03-07T12:47:26.023627Z	960.9274908	143.0085448	3	1.3	190.7238096	0.5	12.88763973	77.64309126	1.3	10	0.5	1772887646		1.3	0	0.68445697	-0.908586971	0.1
932.4	3	12.8877935	77.64298933	958.1134463	190.7238096	3	0.7	190.7238096	0.5	12.88781319	77.64297851	0.7	20	1	2026-03-07T12:47:26.190109Z	960.8240779	130.5453285	3	1.3	190.7238096	0.5	12.88763498	77.64309696	1.3	10	0.5	1772887646		1.3	0	1.645634422	-1.407757699	0.1
932.4	3	12.88779367	77.64298933	958.1974463	190.7238096	3	0.7	190.7238096	0.5	12.88781523	77.64297799	0.7	20	1	2026-03-07T12:47:26.392864Z	960.9697895	142.8203409	3	1.3	190.7238096	0.5	12.88762953	77.6431012	1.3	10	0.5	1772887646		1.3	0	1.171226411	-1.544171849	0.1
932.4	3	12.88779367	77.64298933	958.1334463	190.7238096	3	0.7	190.7238096	0.5	12.88781728	77.64297746	0.7	20	1	2026-03-07T12:47:26.609743Z	960.9625307	144.0455785	3	1.3	190.7238096	0.5	12.88762316	77.64310594	1.3	10	0.5	1772887647		1.3	0	1.255952967	-1.73156596	0.1
932.4	3	12.88779367	77.64298933	958.1924463	190.7238096	3	0.7	190.7238096	0.5	12.88781906	77.64297688	0.7	20	1	2026-03-07T12:47:26.790921Z	960.9480938	151.3222331	3	1.3	190.7238096	0.5	12.88761775	77.64310897	1.3	10	0.5	1772887647		1.3	0	0.840101829	-1.535891976	0.1
